formid,exp,geogr,date,stemp,btemp,btime,start,visibility,averagedepth,maxdepth,current,habitat,,
5020322,E,34080014,1/2/2009,75,75,26,10,5,9,NULL,2,10,,
5020472,E,34080014,1/11/2009,74,74,26,10,3,9,NULL,2,10,,
5021079,E,34080018,2/14/2009,70,69,60,12,4,3,NULL,3,2,,
5021088,E,34080004,2/15/2009,70,69,44,10,3,4,NULL,3,2,,
5021307,E,34080014,2/22/2009,68,67,27,10,2,9,NULL,3,10,,
5021375,E,34080003,2/28/2009,70,69,41,12,3,4,NULL,3,2,,
5021376,E,34080019,3/3/2009,70,69,58,15,3,4,NULL,2,2,,
5021367,E,34030008,3/3/2009,72,72,47,11,4,4,NULL,2,2,,
5021829,E,34080003,3/18/2009,73,73,44,11,3,4,NULL,3,1,,
5022224,E,34080018,4/4/2009,78,78,60,10,3,4,NULL,2,1,,
5022245,E,34030008,4/7/2009,0,72,56,9,3,5,NULL,2,2,,
5022247,E,34030008,4/7/2009,0,73,58,10,3,4,NULL,3,2,,
5022335,E,34080018,4/12/2009,80,80,44,11,5,3,NULL,3,2,,
5022334,E,34080004,4/12/2009,79,79,39,10,4,4,NULL,2,4,,
5023217,E,34050001,4/21/2009,78,78,36,11,3,7,NULL,3,3,,
5022825,E,34080003,4/29/2009,80,80,42,12,3,4,NULL,3,2,,
5022871,E,34080095,4/30/2009,77,76,30,15,2,8,NULL,2,2,,
5022878,E,34080095,4/30/2009,0,76,30,15,2,8,NULL,2,1,,
5022883,E,34080095,4/30/2009,0,76,30,15,2,8,NULL,2,4,,
5022925,E,34080095,4/30/2009,77,77,30,15,3,7,NULL,3,4,,
5022947,E,34080095,4/30/2009,0,75,41,15,2,8,NULL,3,2,,
5022961,E,34080095,4/30/2009,77,77,30,15,2,8,NULL,2,2,,
5022857,E,34080023,4/30/2009,0,75,60,16,2,4,NULL,3,2,,
5022858,E,34080023,4/30/2009,77,76,60,16,2,4,NULL,2,2,,
5022860,E,34080023,4/30/2009,0,76,60,16,2,4,NULL,2,2,,
5022886,E,34080023,4/30/2009,77,77,60,16,2,4,NULL,3,2,,
5022951,E,34080023,4/30/2009,0,75,60,16,2,4,NULL,3,2,,
5022966,E,34080023,4/30/2009,77,77,60,16,2,4,NULL,3,2,,
5022872,E,34080094,5/1/2009,77,76,30,15,2,8,NULL,2,1,,
5022876,E,34080094,5/1/2009,0,78,30,15,2,7,NULL,2,1,,
5022884,E,34080094,5/1/2009,0,77,30,15,2,8,NULL,3,4,,
5022923,E,34080094,5/1/2009,77,77,30,16,3,7,NULL,2,4,,
5022953,E,34080094,5/1/2009,0,75,30,15,2,8,NULL,3,2,,
5022971,E,34080094,5/1/2009,77,77,30,15,2,8,NULL,3,2,,
5022873,E,34080001,5/1/2009,78,78,60,17,3,4,NULL,3,2,,
5022874,E,34080001,5/1/2009,77,76,60,17,2,4,NULL,2,1,,
5022877,E,34080001,5/1/2009,0,75,60,16,2,3,NULL,2,2,,
5022885,E,34080001,5/1/2009,0,75,60,16,2,4,NULL,3,2,,
5022954,E,34080001,5/1/2009,0,76,60,17,2,4,NULL,3,2,,
5022972,E,34080001,5/1/2009,77,77,60,16,2,4,NULL,3,2,,
5023235,E,34080001,5/1/2009,0,75,60,15,3,4,NULL,3,2,,
5022897,E,34080097,5/2/2009,77,75,10,15,3,11,NULL,2,11,,
5022926,E,34080097,5/2/2009,77,76,30,14,3,10,NULL,3,11,,
5022939,E,34080097,5/2/2009,0,75,10,15,3,12,NULL,2,11,,
5022944,E,34080097,5/2/2009,77,76,10,15,3,12,NULL,2,11,,
5022955,E,34080097,5/2/2009,0,76,10,15,2,12,NULL,3,8,,
5022969,E,34080097,5/2/2009,78,78,10,15,3,11,NULL,3,11,,
5022899,E,34080010,5/2/2009,0,75,30,16,2,8,NULL,3,10,,
5022908,E,34080010,5/2/2009,77,77,30,15,3,8,NULL,3,10,,
5022940,E,34080010,5/2/2009,0,76,30,16,3,8,NULL,2,1,,
5022945,E,34080010,5/2/2009,77,76,30,16,2,8,NULL,2,10,,
5022957,E,34080010,5/2/2009,0,75,30,16,2,8,NULL,3,10,,
5022970,E,34080010,5/2/2009,77,77,30,16,3,7,NULL,2,10,,
5022900,E,34080009,5/2/2009,0,75,54,17,2,4,NULL,3,2,,
5022909,E,34080009,5/2/2009,77,77,57,17,3,4,NULL,3,2,,
5022952,E,34080009,5/2/2009,78,77,45,17,3,4,NULL,2,1,,
5022960,E,34080009,5/2/2009,0,75,44,17,2,4,NULL,3,2,,
5022941,E,34080096,5/3/2009,0,76,30,10,2,8,NULL,2,2,,
5022946,E,34080096,5/3/2009,0,75,30,10,3,9,NULL,3,2,,
5022948,E,34080096,5/3/2009,77,76,30,10,2,8,NULL,2,2,,
5022956,E,34080096,5/3/2009,77,77,30,10,3,8,NULL,3,2,,
5022967,E,34080096,5/3/2009,76,76,30,13,2,9,NULL,3,2,,
5023062,E,34080096,5/3/2009,0,75,30,10,2,9,NULL,3,2,,
5022942,E,34080008,5/3/2009,0,76,60,11,2,3,NULL,2,1,,
5022949,E,34080008,5/3/2009,0,75,60,11,3,4,NULL,3,2,,
5022950,E,34080008,5/3/2009,77,77,60,11,2,4,NULL,2,1,,
5022959,E,34080008,5/3/2009,77,77,60,11,3,4,NULL,3,2,,
5022968,E,34080008,5/3/2009,77,77,60,11,2,3,NULL,3,3,,
5023063,E,34080008,5/3/2009,0,76,60,11,3,3,NULL,3,3,,
5023077,E,34110005,5/5/2009,80,0,90,10,2,1,NULL,3,1,,
5023447,E,34110005,5/5/2009,82,0,90,11,3,1,NULL,3,7,,
5023172,E,34030053,5/6/2009,82,0,60,11,2,1,NULL,3,1,,
5023443,E,34030053,5/6/2009,82,0,90,11,3,1,NULL,3,7,,
5023383,E,34110005,5/8/2009,82,0,60,10,3,1,NULL,3,1,,
5023446,E,34110005,5/8/2009,82,0,90,11,3,1,NULL,3,7,,
5023445,E,34080075,5/9/2009,82,0,60,11,2,1,NULL,3,7,,
5023238,E,34080094,5/11/2009,0,74,30,17,3,7,NULL,3,1,,
5023310,E,34050001,5/12/2009,77,77,30,10,3,9,NULL,3,2,,
5023434,E,34080008,5/18/2009,81,81,42,10,3,4,NULL,3,2,,
5023435,E,34080003,5/18/2009,81,81,52,11,4,4,NULL,3,2,,
5023722,E,34080014,5/29/2009,82,81,26,22,5,9,NULL,2,10,,
5023769,E,34030011,5/30/2009,0,78,58,13,4,5,NULL,3,10,,
5023771,E,34030011,5/30/2009,77,77,60,7,4,6,NULL,3,10,,
5024294,E,34030011,5/30/2009,0,78,30,14,4,4,NULL,3,1,,
5024296,E,34030008,5/30/2009,0,77,30,16,5,5,NULL,3,1,,
5024267,E,34040201,5/31/2009,0,80,147,14,5,5,NULL,3,1,,
5023821,E,34030014,6/1/2009,0,81,50,11,4,4,NULL,3,1,,
5023864,E,34030014,6/1/2009,0,80,71,9,4,4,NULL,2,2,,
5024182,E,34030014,6/1/2009,80,80,60,10,3,5,NULL,3,3,,
5024439,E,34030014,6/1/2009,0,0,30,9,6,4,NULL,3,1,,
5023824,E,34030013,6/1/2009,0,81,55,12,4,4,NULL,3,1,,
5024183,E,34030013,6/1/2009,80,80,68,11,4,5,NULL,3,10,,
5024268,E,34030013,6/1/2009,0,80,71,11,5,4,NULL,2,2,,
5024440,E,34030013,6/1/2009,0,0,30,11,6,5,NULL,3,1,,
5023901,E,34030008,6/2/2009,0,81,57,14,4,5,NULL,3,1,,
5023905,E,34030008,6/2/2009,0,81,60,16,4,5,NULL,3,1,,
5024231,E,34030008,6/2/2009,79,79,60,10,4,5,NULL,3,1,,
5024233,E,34030008,6/2/2009,79,79,60,11,3,5,NULL,3,1,,
5024269,E,34030008,6/2/2009,0,80,71,14,4,5,NULL,2,2,,
5024289,E,34030008,6/2/2009,0,80,69,16,3,5,NULL,2,2,,
5024295,E,34030011,6/3/2009,0,79,70,19,4,6,NULL,3,10,,
5024387,E,34030011,6/3/2009,0,80,61,21,4,6,NULL,3,10,,
5024110,E,34030009,6/3/2009,0,81,60,11,3,4,NULL,2,1,,
5024114,E,34030009,6/3/2009,0,81,57,9,3,4,NULL,2,1,,
5024234,E,34030009,6/3/2009,79,79,60,10,3,5,NULL,3,1,,
5024236,E,34030009,6/3/2009,79,79,58,11,3,4,NULL,3,1,,
5024290,E,34030009,6/3/2009,0,80,72,9,5,4,NULL,2,2,,
5024293,E,34030009,6/3/2009,0,80,69,11,5,4,NULL,3,2,,
5024160,E,34030028,6/4/2009,0,81,54,9,3,5,NULL,2,1,,
5024162,E,34030028,6/4/2009,0,81,55,11,3,3,NULL,2,1,,
5024390,E,34030028,6/4/2009,0,80,71,11,4,4,NULL,3,1,,
5024237,E,34030005,6/4/2009,77,77,60,10,3,4,NULL,3,1,,
5024238,E,34030005,6/4/2009,80,80,60,11,3,4,NULL,3,1,,
5024388,E,34030005,6/4/2009,0,80,70,9,4,4,NULL,3,1,,
5024394,E,34030014,6/5/2009,0,80,66,11,5,4,NULL,3,1,,
5024391,E,34030013,6/5/2009,0,79,70,9,5,4,NULL,3,2,,
5024395,E,34030009,6/6/2009,0,80,69,9,4,4,NULL,2,2,,
5024396,E,34030009,6/6/2009,0,80,66,11,4,4,NULL,2,2,,
5024177,E,34030053,6/8/2009,82,0,75,13,2,1,NULL,3,1,,
5024272,E,34080008,6/10/2009,84,84,38,16,2,4,NULL,2,2,,
5024273,E,34080003,6/10/2009,84,84,41,17,2,4,NULL,3,2,,
5024461,E,34080018,6/13/2009,85,85,46,7,5,3,NULL,3,2,,
5024437,E,34030038,6/13/2009,0,78,40,13,4,8,NULL,1,10,,
5024436,E,34030014,6/13/2009,0,83,55,15,4,4,NULL,3,1,,
5024460,E,34080019,6/14/2009,85,84,44,16,6,4,NULL,2,2,,
5024601,E,34080009,6/15/2009,0,80,55,16,4,6,NULL,3,2,,
5024602,E,34080001,6/15/2009,0,84,50,14,3,4,NULL,3,2,,
5024596,E,34080097,6/16/2009,84,83,26,10,4,9,NULL,1,10,,
5024599,E,34080097,6/16/2009,0,79,30,11,3,9,NULL,1,10,,
5024600,E,34080095,6/16/2009,0,84,50,13,3,4,NULL,3,1,,
5024736,E,34080023,6/16/2009,85,85,42,12,3,4,NULL,3,2,,
5029171,E,34050004,6/16/2009,86,86,40,14,2,4,NULL,3,3,,
5029173,E,34050004,6/16/2009,86,86,28,13,3,4,NULL,3,3,,
5029174,E,34050004,6/16/2009,86,86,30,11,3,4,NULL,3,3,,
