formid,Abundance
5087758,4
5125250,4
5048792,3
5074210,3
5060344,3
5073947,3
5102009,3
5110313,3
5111870,3
5112592,3
5115695,3
5118577,3
5124175,3
5124180,3
5124492,3
5125249,3
5125253,3
5128374,3
5127747,3
5130424,3
5135293,3
5136237,3
5145128,3
5153263,3
5034649,2
5035715,2
5035717,2
5035716,2
5036716,2
5037438,2
5044563,2
5037816,2
5038114,2
5038196,2
5038307,2
5038825,2
5038824,2
5038819,2
5039077,2
5038838,2
5039095,2
5039775,2
5041638,2
5043930,2
5045273,2
5046365,2
5046927,2
5047395,2
5047932,2
5048056,2
5050468,2
5048083,2
5048288,2
5048734,2
5048765,2
5048786,2
5048788,2
5048795,2
5048793,2
5051641,2
5051640,2
5050344,2
5050343,2
5051876,2
5052927,2
5053237,2
5053238,2
5053614,2
5055826,2
5057500,2
5058253,2
5059562,2
5059440,2
5059829,2
5060345,2
5060351,2
5060353,2
5060359,2
5073942,2
5061528,2
5061049,2
5061582,2
5061643,2
5061645,2
5061509,2
5061394,2
5061419,2
5061527,2
5061799,2
5061974,2
5061506,2
5061529,2
5061563,2
5062351,2
5062591,2
5062700,2
5064513,2
5064369,2
5064335,2
5064368,2
5067526,2
5069005,2
5069017,2
5069130,2
5069132,2
5069929,2
5068348,2
5069187,2
5069550,2
5069560,2
5069793,2
5070485,2
5072262,2
5073943,2
5073949,2
5073950,2
5074163,2
5074162,2
5073953,2
5073952,2
5078572,2
5074301,2
5074347,2
5074940,2
5074939,2
5075080,2
5075079,2
5075078,2
5075659,2
5075725,2
5075722,2
5075899,2
5075901,2
5075900,2
5077365,2
5077366,2
5076779,2
5076781,2
5076794,2
5077408,2
5078804,2
5077795,2
5077949,2
5078368,2
5080053,2
5078379,2
5078364,2
5078632,2
5078635,2
5078658,2
5078950,2
5078122,2
5078778,2
5078790,2
5079462,2
5085173,2
5078855,2
5079784,2
5079956,2
5079963,2
5079960,2
5080777,2
5080778,2
5080930,2
5080931,2
5084514,2
5084533,2
5084530,2
5085999,2
5085904,2
5085905,2
5085907,2
5085949,2
5086024,2
5086116,2
5086440,2
5086730,2
5086789,2
5087225,2
5087237,2
5087242,2
5089210,2
5089432,2
5089334,2
5091321,2
5089656,2
5100692,2
5100348,2
5090932,2
5080766,2
5080767,2
5080765,2
5079881,2
5081472,2
5081392,2
5080743,2
5081002,2
5081008,2
5081706,2
5081712,2
5081653,2
5081652,2
5081944,2
5081949,2
5082041,2
5082469,2
5085302,2
5083068,2
5083106,2
5083940,2
5084137,2
5173787,2
5087116,2
5094162,2
5094634,2
5099966,2
5095576,2
5095581,2
5095922,2
5095973,2
5095978,2
5095934,2
5096798,2
5096444,2
5096796,2
5096854,2
5098288,2
5099342,2
5099421,2
5099738,2
5099835,2
5101392,2
5099836,2
5100127,2
5100003,2
5100135,2
5100091,2
5100483,2
5100139,2
5100630,2
5100321,2
5100406,2
5100641,2
5100726,2
5102010,2
5104043,2
5104977,2
5105147,2
5105074,2
5106537,2
